City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
East London,-33.02,27.91,60.8,77,71,5.82,ZA,1603048285
Snezhnogorsk,69.19,33.25,21.2,100,25,2.24,RU,1603048286
Khatanga,71.97,102.5,6.89,86,71,8.72,RU,1603048286
Avarua,-21.21,-159.78,77.0,73,95,6.93,CK,1603048286
Shwebo,22.57,95.7,76.53,84,99,3.0,MM,1603048287
Yeppoon,-23.13,150.73,64.4,88,13,3.22,AU,1603048089
Jamestown,42.1,-79.24,59.0,51,1,13.87,US,1603048287
Riyadh,24.69,46.72,73.4,23,0,6.82,SA,1603048288
Busselton,-33.65,115.33,59.0,53,0,8.84,AU,1603048288
Yarmouth,41.71,-70.23,60.01,47,1,6.93,US,1603048288
Bambous Virieux,-20.34,57.76,73.4,78,20,6.93,MU,1603048288
Half Moon Bay,37.46,-122.43,78.01,64,5,4.7,US,1603048289
Madison,34.73,-86.57,73.0,53,1,12.75,US,1603048289
Hilo,19.73,-155.09,71.6,83,90,5.82,US,1603048206
Tilichiki,60.47,166.1,34.23,89,100,6.46,RU,1603048289
Tasiilaq,65.61,-37.64,32.0,90,51,10.29,GL,1603048289
New Norfolk,-42.78,147.06,50.0,57,90,9.17,AU,1603048290
Esperance,-33.87,121.9,55.4,87,100,10.29,AU,1603048290
Longyearbyen,78.22,15.64,24.8,79,20,9.17,SJ,1603048046
Arraial do Cabo,-22.97,-42.03,77.0,69,40,17.22,BR,1603048290
Chimbote,-9.09,-78.58,68.76,67,46,10.92,PE,1603048291
Punta Arenas,-53.15,-70.92,48.2,61,75,25.28,CL,1603048291
Kapaa,22.08,-159.32,80.01,94,75,13.87,US,1603048291
Bethel,41.37,-73.41,60.8,44,40,10.29,US,1603048291
Saldanha,-33.01,17.94,60.8,72,100,9.17,ZA,1603048292
Clyde River,70.47,-68.59,26.6,86,90,5.82,CA,1603048292
Nakasongola,1.31,32.46,66.61,94,100,4.61,UG,1603048292
Yelkhovka,53.87,50.28,55.4,66,40,17.9,RU,1603048292
Tuktoyaktuk,69.45,-133.04,14.0,85,20,4.7,CA,1603048292
Kofelē,7.07,38.78,52.9,94,97,1.63,ET,1603048293
Mitú,1.2,-70.17,90.48,50,98,0.85,CO,1603048293
Contamana,-7.33,-75.02,99.39,30,23,5.28,PE,1603048293
Hasaki,35.73,140.83,51.8,87,20,4.7,JP,1603048293
Carnarvon,-24.87,113.63,69.8,83,90,12.75,AU,1603048294
Dandeli,15.27,74.62,69.87,96,95,2.21,IN,1603048294
Stornoway,58.21,-6.39,45.0,87,100,4.7,GB,1603048039
Mataura,-46.19,168.86,46.99,94,100,1.23,NZ,1603048294
Rikitea,-23.12,-134.97,74.97,80,100,20.31,PF,1603048295
Vaini,-21.2,-175.2,69.8,88,75,10.29,TO,1603048295
Bāsār,27.98,94.67,66.72,90,9,2.44,IN,1603048295
Qaqortoq,60.72,-46.03,37.4,74,57,3.36,GL,1603048295
Nikolskoye,59.7,30.79,37.0,93,90,4.47,RU,1603048296
Cherskiy,68.75,161.3,18.73,91,72,7.36,RU,1603048296
Simpang,-1.27,104.08,74.64,88,58,2.95,ID,1603048296
Kristinestad,62.27,21.38,34.59,96,100,19.55,FI,1603048296
Buraidah,26.33,43.98,75.2,22,0,6.93,SA,1603048297
Qaanaaq,77.48,-69.36,32.95,88,93,8.59,GL,1603048297
Yangshan,28.76,115.03,54.09,84,100,2.71,CN,1603048297
Butaritari,3.07,172.79,81.82,72,99,17.9,KI,1603048297
Umm Kaddadah,13.6,26.69,89.73,12,0,7.34,SD,1603048298
Goderich,43.75,-81.72,52.0,84,100,27.04,CA,1603048298
Hobart,-42.88,147.33,50.0,57,90,9.17,AU,1603048273
Vanimo,-2.67,141.3,77.32,85,100,4.65,PG,1603048298
Faanui,-16.48,-151.75,79.09,81,9,10.18,PF,1603048298
Bredasdorp,-34.53,20.04,60.8,77,100,2.24,ZA,1603048299
Enshi,30.3,109.48,53.13,84,74,1.16,CN,1603048299
Christchurch,-43.53,172.63,53.01,100,100,1.12,NZ,1603048008
Shache,38.42,77.24,46.72,47,0,5.28,CN,1603048299
Albany,42.6,-73.97,61.0,42,100,11.65,US,1603048193
Ploemeur,47.73,-3.43,48.99,81,100,3.36,FR,1603048300
Fortuna,40.6,-124.16,62.6,63,20,13.87,US,1603048300
Ouadda,8.08,22.4,71.82,81,26,2.68,CF,1603048270
Saint George,37.1,-113.58,78.01,14,1,4.07,US,1603048011
Russell,32.35,-85.2,77.0,57,1,6.93,US,1603048301
Lengshuitan,26.41,111.6,56.62,88,93,2.86,CN,1603048301
Honningsvåg,70.98,25.97,37.4,71,75,4.7,NO,1603048301
Tres Arroyos,-38.37,-60.28,74.84,54,57,5.82,AR,1603048301
Ushuaia,-54.8,-68.3,46.4,67,40,12.75,AR,1603048196
Lompoc,34.64,-120.46,69.8,52,1,4.7,US,1603048302
Loralai,30.37,68.6,58.14,23,0,5.75,PK,1603048090
Timizart,36.8,4.27,57.6,78,0,3.51,DZ,1603048302
Leningradskiy,69.38,178.42,22.28,87,0,6.6,RU,1603048302
Itarema,-2.92,-39.92,83.53,61,88,18.52,BR,1603048303
Hermanus,-34.42,19.23,61.0,81,100,4.99,ZA,1603048303
Boshnyakovo,49.63,142.17,34.21,80,54,19.28,RU,1603048303
Ponta do Sol,32.67,-17.1,73.4,83,40,27.51,PT,1603048303
Ribeira Grande,38.52,-28.7,64.4,59,40,13.87,PT,1603048303
Norman Wells,65.28,-126.83,12.2,92,20,2.24,CA,1603048304
Talcahuano,-36.72,-73.12,62.6,45,0,11.41,CL,1603048304
Dikson,73.51,80.55,27.16,89,99,29.97,RU,1603048304
Shimoda,34.67,138.95,55.0,75,80,10.6,JP,1603048304
College,64.86,-147.8,12.2,78,75,0.96,US,1603048179
Castro,-24.79,-50.01,69.66,72,99,8.16,BR,1603048305
Yar-Sale,66.83,70.83,20.53,96,39,9.4,RU,1603048305
Chico,39.73,-121.84,87.01,25,20,3.38,US,1603048305
Port Hedland,-20.32,118.57,71.6,83,0,10.29,AU,1603048305
Puerto Ayora,-0.74,-90.35,77.0,73,40,17.22,EC,1603048306
Hofn,64.25,-15.21,42.87,74,90,15.55,IS,1603048306
Seminole,28.71,-81.21,82.99,65,90,18.34,US,1603048276
Sangar,63.92,127.47,14.77,96,97,6.2,RU,1603048307
Port Elizabeth,-33.92,25.57,59.0,87,0,9.17,ZA,1603048307
Ambulu,-8.35,113.61,75.18,89,59,4.43,ID,1603048307
Ruidoso,33.33,-105.67,77.0,9,1,14.99,US,1603048023
Alexandria,31.22,29.96,75.2,78,0,8.05,EG,1603048041
Necochea,-38.55,-58.74,63.7,74,38,10.04,AR,1603048308
Mahébourg,-20.41,57.7,73.4,78,20,6.93,MU,1603048308
